ranking_v2,codigo_comuna,nombre_comuna,region,poblacion,tasa_pobreza_ing,tasa_pobreza_mult,expo_promedio_hab,cai_v2,cai_v2_mult,quintil_v2,quintil_v2_label
1,10107,Llanquihue,Los Lagos,18880,0.1268444594041169,0.1645141428671159,0.008523545791848473,100,100,5,Q5 · Muy alto
2,02102,Mejillones,Antofagasta,15950,0.140420258758358,0.2870207002826101,0.00753067415480858,97.42709463899098,99.45565766429975,5,Q5 · Muy alto
3,02201,Calama,Antofagasta,196282,0.1722528990002982,0.2041430849533258,0.005249349452551076,89.78880350423913,89.72280369308723,5,Q5 · Muy alto
4,05105,Puchuncaví,Valparaíso,21325,0.1406234709854404,0.2537835727894447,0.003433759741639979,79.52714923601438,81.05130249539124,5,Q5 · Muy alto
5,03304,Huasco,Atacama,11611,0.236585617375299,0.2220797537641351,0.0028656311616559235,77.27247219830895,76.42859460435461,5,Q5 · Muy alto
6,05702,Catemu,Valparaíso,15765,0.1769920706589737,0.2160043978356258,0.0023983415159752734,72.18161120805809,72.36084770650629,5,Q5 · Muy alto
7,05502,Calera,Valparaíso,53921,0.2006083264641605,0.1772545638439708,0.001752842970283806,65.68643519595572,64.76542663924349,5,Q5 · Muy alto
8,09202,Collipulli,La Araucanía,26591,0.3071311994782994,0.1408582363911995,0.0015047903562098665,64.20683147632401,60.78755096743118,5,Q5 · Muy alto
9,09103,Cunco,La Araucanía,18073,0.3297412598351657,0.1769066890538165,0.0011183466742312048,58.15614665146414,55.13869267090866,5,Q5 · Muy alto
10,02301,Tocopilla,Antofagasta,28350,0.2167313488031379,0.2180353160636643,8.00622691802679e-4,49.2786887817149,48.93024481243373,5,Q5 · Muy alto
11,08102,Coronel,Biobío,129209,0.2130078108708781,0.184671927191228,6.252922146533201e-4,44.22836471141339,43.43167069878949,5,Q5 · Muy alto
12,12302,Primavera,Magallanes,672,0.03488479479632718,0.1089737723993703,5.65374156664277e-4,39.18803244191257,40.204729155853514,5,Q5 · Muy alto
13,05103,Concón,Valparaíso,48392,0.1144885928028133,0.09470274680613502,4.7563510278654785e-4,37.33123982411963,36.720245693137535,5,Q5 · Muy alto
14,16206,Ránquil,Ñuble,6292,0.2620235196044827,0.2220317993276604,3.895263498220926e-4,35.93783297754865,35.08389053226765,5,Q5 · Muy alto
15,08112,Hualpén,Biobío,98086,0.176411561364126,0.1299672165157391,3.8829549197307305e-4,34.60259635200805,33.624747595986484,5,Q5 · Muy alto
16,04301,Ovalle,Coquimbo,124616,0.2345246237825721,0.1789555171009066,3.411989101145996e-4,33.153522933072686,32.09986014459789,5,Q5 · Muy alto
17,01404,Huara,Tarapacá,3111,0.3987214229253472,0.3456864073776927,2.504210012980676e-4,29.963721952762345,29.09469958660993,5,Q5 · Muy alto
18,10202,Ancud,Los Lagos,42510,0.180995307942176,0.14729109666673,2.4648250580194933e-4,26.923186115770683,26.263934292567708,5,Q5 · Muy alto
19,08202,Arauco,Biobío,38962,0.2299293263951287,0.215970926082729,2.195684203742228e-4,25.738913624762723,25.369234305605918,5,Q5 · Muy alto
20,08304,Laja,Biobío,23924,0.2255334548600086,0.1517227442466477,2.1949905854309123e-4,25.67819996414874,24.53525033252256,5,Q5 · Muy alto
21,16301,San Carlos,Ñuble,57133,0.300434783539184,0.1721245540499649,2.0038211654911195e-4,25.185657322428014,23.43639797599955,5,Q5 · Muy alto
22,08110,Talcahuano,Biobío,158065,0.1743731561839394,0.13553487875395,2.0834866009663522e-4,24.22587525225636,23.543751731841567,5,Q5 · Muy alto
23,09101,Temuco,La Araucanía,310144,0.2415879207985178,0.1301289421393088,1.7315845475240904e-4,22.32137991546509,20.83657488085245,5,Q5 · Muy alto
24,13604,Padre Hurtado,Metropolitana,82494,0.1500744020171592,0.1789436655496355,1.8096801165062734e-4,21.857959366123286,22.04459353971221,5,Q5 · Muy alto
25,10103,Cochamó,Los Lagos,3932,0.2246817217249981,0.1587305473843305,1.4657269277457502e-4,19.820033684144093,18.94606254851663,5,Q5 · Muy alto
26,01101,Iquique,Tarapacá,232455,0.1617454423432433,0.1854500063433278,1.4910391783665467e-4,19.347730187668596,19.467175985811892,5,Q5 · Muy alto
27,07102,Constitución,Maule,50625,0.2206082966315512,0.1712301653765076,1.3709627457502707e-4,18.8969753152964,18.229007937650387,5,Q5 · Muy alto
28,08306,Nacimiento,Biobío,28030,0.2000542709784388,0.2219655458674807,1.379940849643819e-4,18.76186514610367,18.853361867317016,5,Q5 · Muy alto
29,10403,Hualaihué,Los Lagos,9590,0.2452431864765493,0.2045766435105611,1.212934282639045e-4,17.599807547935768,17.063473279513943,5,Q5 · Muy alto
30,11101,Coyhaique,Aysén,62099,0.1369448823682037,0.1163017077752303,1.2846612907407964e-4,17.1886250856595,16.83923220883642,5,Q5 · Muy alto
31,10102,Calbuco,Los Lagos,37686,0.1925725243607721,0.2274313384843153,1.1370137064187844e-4,16.300654326398067,16.51602201552414,5,Q5 · Muy alto
32,11203,Guaitecas,Aysén,1612,0.1816366655973875,0.204054126013951,1.0510522536866954e-4,15.292876277281593,15.388253729143553,5,Q5 · Muy alto
33,16101,Chillán,Ñuble,204572,0.1972973315601556,0.1405606054131673,1.0347458396032326e-4,15.265187577402848,14.617453500099737,5,Q5 · Muy alto
34,13114,Las Condes,Metropolitana,344516,0.02774396990599451,0.04902937268873177,1.1867659152491541e-4,15.09083488837283,15.204768363088755,5,Q5 · Muy alto
35,05107,Quintero,Valparaíso,38842,0.1993660186128678,0.2170195527619963,1.0086341483800482e-4,14.999815169158108,15.04820431644489,5,Q5 · Muy alto
36,09108,Lautaro,La Araucanía,41973,0.2733127880260036,0.158782485090739,9.496807851105492e-5,14.995416467606113,13.873450090964454,5,Q5 · Muy alto
37,13102,Cerrillos,Metropolitana,90197,0.1756994689564681,0.2169848063164608,9.448210994577572e-5,14.077197052453197,14.336935679820549,5,Q5 · Muy alto
38,09114,Pitrufquén,La Araucanía,26653,0.2844980320426931,0.1373583847979025,8.579732035515928e-5,13.993679898020147,12.659954025764915,5,Q5 · Muy alto
39,07304,Molina,Maule,52306,0.2204387677629356,0.1203795734780285,8.655509111553252e-5,13.552978696452662,12.599131808805973,5,Q5 · Muy alto
40,13107,Huechuraba,Metropolitana,118805,0.1115309610278001,0.2291974006121766,9.364520906490584e-5,13.402067005222323,14.348568049318681,5,Q5 · Muy alto
41,13125,Quilicura,Metropolitana,277388,0.137324916463244,0.1985776793771434,8.954515716475735e-5,13.180860857157583,13.613972325087921,5,Q5 · Muy alto
42,07308,Teno,Maule,31984,0.2065711542081578,0.1502762040260409,8.432446926049724e-5,13.171121874476308,12.601323731049051,5,Q5 · Muy alto
43,13118,Macul,Metropolitana,138598,0.1354839723510347,0.1063307162434714,8.945941058177765e-5,13.15491733397279,12.79840517839988,5,Q5 · Muy alto
44,01401,Pozo Almonte,Tarapacá,18811,0.2109652735213383,0.193845100348277,8.272390543877748e-5,13.01551608069406,12.77731670895588,5,Q5 · Muy alto
45,07109,San Clemente,Maule,48176,0.2316813340770903,0.1450487945635699,7.791837239662802e-5,12.59292298560025,11.808749509288553,5,Q5 · Muy alto
46,13128,Renca,Metropolitana,163158,0.1874572117234973,0.2785709532860615,7.649327717978404e-5,12.0659678142035,12.681910059645782,5,Q5 · Muy alto
47,08106,Lota,Biobío,45369,0.1726001619135373,0.1882645329478347,7.685833091833905e-5,11.992373058276785,12.026267858877887,5,Q5 · Muy alto
48,13130,San Miguel,Metropolitana,146622,0.1044493137225644,0.09882653482438546,8.118654159764709e-5,11.944702660877637,11.807669859613446,5,Q5 · Muy alto
49,13113,La Reina,Metropolitana,99001,0.05925841165509132,0.06315765769981024,8.417014461891816e-5,11.89162497142356,11.836293008098435,5,Q5 · Muy alto
50,11401,Chile Chico,Aysén,5159,0.1802335972699297,0.1477897278877454,7.544333977919538e-5,11.879377266349572,11.534720004340473,5,Q5 · Muy alto
51,02103,Sierra Gorda,Antofagasta,1807,0.1419055250142624,0.1654250763862726,7.59979669603212e-5,11.642056482176296,11.741212056964049,5,Q5 · Muy alto
52,16102,Bulnes,Ñuble,22755,0.2396052239377107,0.1608095488771132,6.923029144139052e-5,11.539981918814835,10.871663701334297,5,Q5 · Muy alto
53,07101,Talca,Maule,242818,0.2437553247364397,0.1235836687742039,6.69185223642638e-5,11.263800031390979,10.306115685660588,5,Q5 · Muy alto
54,13132,Vitacura,Metropolitana,96890,0.008106848721252889,0.02096104787249439,8.149047458207218e-5,11.147661428670522,11.175795811167946,5,Q5 · Muy alto
55,13119,Maipú,Metropolitana,586963,0.1203845683856568,0.1697889108944236,7.267361421707187e-5,11.068910150450906,11.368314764995006,5,Q5 · Muy alto
56,13502,Alhué,Metropolitana,7892,0.2320551938381482,0.2024211002993685,6.494608712258448e-5,10.916293031605868,10.625198303042126,5,Q5 · Muy alto
57,10303,Purranque,Los Lagos,20953,0.171962254617738,0.1736826212222157,6.34568336034681e-5,10.292597955025213,10.227387649473759,5,Q5 · Muy alto
58,13124,Pudahuel,Metropolitana,262158,0.1543926454573937,0.22443644434968,6.319554140547138e-5,10.133526684161092,10.547193801419017,5,Q5 · Muy alto
59,07105,Maule,Maule,69826,0.2434464933137382,0.1271739219563442,5.802548118709826e-5,10.043108789937476,9.197554842905324,5,Q5 · Muy alto
60,13123,Providencia,Metropolitana,164397,0.01186509072138874,0.01768920959237288,7.068673747916779e-5,9.972174659888331,9.943562355585659,5,Q5 · Muy alto
61,14101,Valdivia,Los Ríos,182507,0.177680689235245,0.1149311712618318,5.553886584609515e-5,9.267445278112591,8.789767824593955,5,Q5 · Muy alto
62,13108,Independencia,Metropolitana,154336,0.1167807676260663,0.1871986850805015,5.8153634026470374e-5,9.213334695302933,9.615654675115376,5,Q5 · Muy alto
63,14102,Corral,Los Ríos,5417,0.2528838435489524,0.1678043739877625,4.857698814477738e-5,8.729726428151714,8.168015494358363,5,Q5 · Muy alto
64,13101,Santiago,Metropolitana,547366,0.1017250883364201,0.1787197204587609,5.3833781533344366e-5,8.543349460264983,8.970137406922936,5,Q5 · Muy alto
65,13106,Estación Central,Metropolitana,222640,0.1553882376639701,0.2297413163410227,5.020430945979528e-5,8.385455741928524,8.768058594522817,5,Q5 · Muy alto
66,08305,Mulchén,Biobío,31115,0.2450171305311774,0.2096502757975473,4.586945820932058e-5,8.276241416122046,8.01677241715686,5,Q5 · Muy alto
67,07401,Linares,Maule,104212,0.2912733370679468,0.1197264531589338,4.256316317636092e-5,8.01272792225614,7.040578159162947,5,Q5 · Muy alto
